section,LATITUDE,LONGITUDE,upper50mDOPstock,MeanDOPUpper50,iron stress,PStar,Chl a,PStar_250,Pstar_insitu,nFLH,region,comment
P18,-17.5,-103,14.183,0.28366,0.01764899,0.322200008,0.063646,0.360500015,0.318846903,5.10E-03,Eastern South Pacific,
P18,-19.5,-103,11.045,0.2209,0.016508368,0.303518744,0.033591,0.295118749,0.372328869,3.51E-03,Eastern South Pacific,
P18,-21.5,-103,10.766,0.21532,0.018035713,0.281087505,0.025668,0.253953576,0.368248714,2.71E-03,Eastern South Pacific,
P18,-23.5,-103,11.158,0.22316,0.02027705,0.255693758,0.017004,0.226620534,0.240272594,2.59E-03,Eastern South Pacific,
P18,-25.5,-101.5,8.4894,0.169788,0.019526479,0.223931247,0.015921,0.216259815,0.214117707,2.48E-03,Eastern South Pacific,
P18,-27.5,-101.5,4.527,0.09054,0.02041306,0.1871625,0.015349,0.191448214,0.199259301,2.56E-03,Eastern South Pacific,
P18,-29.501,-103,10.109,0.20218,0.020510938,0.166937495,0.018783,0.161725892,0.149917309,2.77E-03,Eastern South Pacific,
P18,-31.5,-103,6.4486,0.128972,0.019085237,0.166550003,0.023375,0.158366069,0.155662728,3.17E-03,Eastern South Pacific,
P18,-33.501,-103,8.8387,0.176774,0.020282587,0.170362502,0.045005,0.154587498,0.200071939,4.89E-03,Eastern South Pacific,
KH-12-3,35,160,5.600305561,0.112006111,0.012694331,0.09155,0.095046572,0.045356257,0.073,5.77E-03,Western North Pacific,
KH-12-3,30,160,5.015142972,0.100302859,0.014603185,0.045849998,0.052076049,0.021616073,0.054,4.25E-03,Western North Pacific,
KH-12-3,25,160,5.689772705,0.113795454,0.018049786,0.056206248,0.033807889,0.073414284,0.048,3.04E-03,Western North Pacific,
KH-12-3,20,160,6.525073656,0.130501473,0.020633663,0.088575,0.042479359,0.140261609,0.06,2.96E-03,Western North Pacific,
KH-12-3,15,160,7.776793103,0.155535862,0.022763464,0.111343749,0.03937478,0.184680349,0.052,2.71E-03,Western North Pacific,
KH-12-3,20,148,6.58758376,0.131751675,0.020986197,0.085087497,0.038117528,0.109192859,0.101,3.17E-03,Western North Pacific,
KH-12-3,24,143.21,5.992628946,0.119852579,0.016890918,0.0390375,0.039129231,0.057034825,0.068,2.96E-03,Western North Pacific,
KH-12-3,28,138,4.841016287,0.096820326,0.014291741,0.058312502,0.048757046,0.049745535,0.077,3.99E-03,Western North Pacific,
KH-12-3,31,134.07,4.63945046,0.092789009,0.010482059,0.05584375,0.055738818,0.098112499,0.059,3.36E-03,Western North Pacific,
GOM2019,27.79234,-82.9179,20,0.4,0.00601897,0.060412504,1.488496304,,0.1,1.76E-02,Gulf of Mexico,
GOM2019,28.17038,-82.9226,11,0.22,0.004916198,0.116062507,2.424480915,,0.05,1.64E-02,Gulf of Mexico,
GOM2019,27.3833,-82.715,18,0.36,0.006298834,0.060412504,1.68097198,,-0.01125,2.08E-02,Gulf of Mexico,
GOM2019,27.3667,-82.9,12.5,0.25,0.006371157,0.060412504,0.470149368,,0,1.25E-02,Gulf of Mexico,
GOM2019,27.3575,-83.18722,12.5,0.25,0.008784079,0.060412504,0.338928431,,0,6.66E-03,Gulf of Mexico,
GOM2019,27.28762,-83.58218,9.5,0.19,0.009679796,0.060412504,0.201102883,,0,5.53E-03,Gulf of Mexico,
